,featureType,prblemType,confID,budget,eng_lvls,divide,fusionType,repeats,loss,tp,fp,tn,fn,acc,prec,rec,auc,BC,MCC,0
train_score,flow,classification,"(0, 0, 24)",243.0,3,2.5,none,0,0.16095371544361115,43341.0,2024.0,362680.0,2247.0,0.9895876049995422,0.9553841352462769,0.9507107138633728,0.9986011385917664,1.167162537574768,0.9303446412086487,
val_score,flow,classification,"(0, 0, 24)",243.0,3,2.5,none,0,5.4986677169799805,3487.0,5929.0,70295.0,6041.0,0.8604109883308411,0.3703271150588989,0.36597397923469543,0.7411707639694214,1.819823145866394,0.06816313415765762,
test_score,flow,classification,"(0, 0, 24)",243.0,3,2.5,none,0,2.6264302730560303,3909.0,4921.0,82151.0,6975.0,0.878557562828064,0.44269534945487976,0.35915103554725647,0.819735050201416,1.5157209634780884,0.0688609629869461,
train_score,flow,classification,"(0, 0, 26)",81.0,3,5,avg,0,,,,,,,,,,,,1.0986645221710205
val_score,flow,classification,"(0, 0, 26)",81.0,3,5,avg,0,,,,,,,,,,,,1.0986618995666504
test_score,flow,classification,"(0, 0, 26)",81.0,3,5,avg,0,,,,,,,,,,,,1.0986618995666504
train_score,flow,classification,"(0, 0, 14)",27.0,3,5,conc,0,,,,,,,,,,,,1.0960659980773926
val_score,flow,classification,"(0, 0, 14)",27.0,3,5,conc,0,,,,,,,,,,,,1.1202831268310547
test_score,flow,classification,"(0, 0, 14)",27.0,3,5,conc,0,,,,,,,,,,,,1.0891295671463013
train_score,flow,classification,"(0, 0, 13)",243.0,5,2.5,none,0,1.8729948997497559,0.0,0.0,485520.0,60690.0,0.8889068961143494,0.0,0.0,0.8090071082115173,0.682892918586731,0.2967302203178406,
val_score,flow,classification,"(0, 0, 13)",243.0,5,2.5,none,0,1.9110820293426514,0.0,0.0,79680.0,9960.0,0.8888863921165466,0.0,0.0,0.7424710392951965,0.6934385299682617,0.027501029893755913,
test_score,flow,classification,"(0, 0, 13)",243.0,5,2.5,none,0,1.9311059713363647,0.0,0.0,74720.0,9340.0,0.8888864517211914,0.0,0.0,0.7296346426010132,0.6900733113288879,0.0008390711154788733,
train_score,flow,classification,"(0, 0, 16)",27.0,5,5,avg,0,,,,,,,,,,,,0.7786604166030884
val_score,flow,classification,"(0, 0, 16)",27.0,5,5,avg,0,,,,,,,,,,,,1.8482366800308228
test_score,flow,classification,"(0, 0, 16)",27.0,5,5,avg,0,,,,,,,,,,,,1.0693918466567993
train_score,flow,classification,"(0, 0, 17)",81.0,5,5,conc,0,,,,,,,,,,,,0.711758017539978
val_score,flow,classification,"(0, 0, 17)",81.0,5,5,conc,0,,,,,,,,,,,,2.1651389598846436
test_score,flow,classification,"(0, 0, 17)",81.0,5,5,conc,0,,,,,,,,,,,,1.0955452919006348
train_score,flow,classification,"(0, 0, 25)",9.0,9,2.5,none,0,1.498381495475769,2172.0,120.0,96396.0,10020.0,0.9240819215774536,0.9496475458145142,0.1679205298423767,0.8251252770423889,0.7821989059448242,0.3388512432575226,
val_score,flow,classification,"(0, 0, 25)",9.0,9,2.5,none,0,2.0302696228027344,161.0,288.0,54504.0,6041.0,0.8959982991218567,0.3288043439388275,0.019931765273213387,0.7982081174850464,1.355778694152832,0.20093600451946259,
test_score,flow,classification,"(0, 0, 25)",9.0,9,2.5,none,0,1.8609172105789185,40.0,456.0,96632.0,12096.0,0.8850582838058472,0.08064515888690948,0.0033944330643862486,0.7262911200523376,1.5060029029846191,-0.06834755092859268,
train_score,flow,classification,"(0, 0, 8)",81.0,9,5,avg,0,,,,,,,,,,,,0.9125304222106934
val_score,flow,classification,"(0, 0, 8)",81.0,9,5,avg,0,,,,,,,,,,,,3.5369417667388916
test_score,flow,classification,"(0, 0, 8)",81.0,9,5,avg,0,,,,,,,,,,,,1.6354650259017944
train_score,flow,classification,"(0, 0, 17)",27.0,9,5,conc,0,,,,,,,,,,,,1.1176998615264893
val_score,flow,classification,"(0, 0, 17)",27.0,9,5,conc,0,,,,,,,,,,,,2.549788236618042
test_score,flow,classification,"(0, 0, 17)",27.0,9,5,conc,0,,,,,,,,,,,,1.6124085187911987
train_score,rgb,classification,"(0, 0, 26)",81.0,3,2.5,none,0,0.32129353284835815,39767.0,5525.0,359179.0,5821.0,0.9723476767539978,0.8780137896537781,0.8723129034042358,0.9926750659942627,0.9978063702583313,0.8130818605422974,
val_score,rgb,classification,"(0, 0, 26)",81.0,3,2.5,none,0,2.9458038806915283,4613.0,4844.0,71380.0,4915.0,0.8861948847770691,0.48778682947158813,0.4841519594192505,0.7929560542106628,1.2274036407470703,0.2736225426197052,
test_score,rgb,classification,"(0, 0, 26)",81.0,3,2.5,none,0,2.770331382751465,3810.0,6979.0,80093.0,7074.0,0.8565356731414795,0.35313746333122253,0.35005512833595276,0.7523888945579529,1.2309569120407104,0.04216443747282028,
train_score,rgb,classification,"(0, 0, 21)",27.0,3,5,avg,0,,,,,,,,,,,,1.069258451461792
val_score,rgb,classification,"(0, 0, 21)",27.0,3,5,avg,0,,,,,,,,,,,,1.0980427265167236
test_score,rgb,classification,"(0, 0, 21)",27.0,3,5,avg,0,,,,,,,,,,,,1.0616127252578735
train_score,rgb,classification,"(0, 0, 17)",27.0,3,5,conc,0,,,,,,,,,,,,1.0860944986343384
val_score,rgb,classification,"(0, 0, 17)",27.0,3,5,conc,0,,,,,,,,,,,,1.098346471786499
test_score,rgb,classification,"(0, 0, 17)",27.0,3,5,conc,0,,,,,,,,,,,,1.0955253839492798
train_score,rgb,classification,"(0, 0, 20)",81.0,5,2.5,none,0,0.0061265346594154835,60532.0,158.0,485362.0,158.0,0.999420702457428,0.9973965883255005,0.9973965883255005,0.9999973177909851,2.4131829738616943,0.9967470765113831,
val_score,rgb,classification,"(0, 0, 20)",81.0,5,2.5,none,0,16.073108673095703,3498.0,6462.0,73218.0,6462.0,0.8558230996131897,0.3512048125267029,0.3512048125267029,0.6611813902854919,3.678785562515259,0.1648559272289276,
test_score,rgb,classification,"(0, 0, 20)",81.0,5,2.5,none,0,17.77217674255371,2529.0,6804.0,67916.0,6811.0,0.8380316495895386,0.27097395062446594,0.2707708775997162,0.6104013323783875,3.608785390853882,0.04531333968043327,
train_score,rgb,classification,"(0, 0, 10)",27.0,5,5,avg,0,,,,,,,,,,,,0.8226984143257141
val_score,rgb,classification,"(0, 0, 10)",27.0,5,5,avg,0,,,,,,,,,,,,1.482114315032959
test_score,rgb,classification,"(0, 0, 10)",27.0,5,5,avg,0,,,,,,,,,,,,1.1602317094802856
train_score,rgb,classification,"(0, 0, 19)",81.0,5,5,conc,0,,,,,,,,,,,,0.563964307308197
val_score,rgb,classification,"(0, 0, 19)",81.0,5,5,conc,0,,,,,,,,,,,,1.7855916023254395
test_score,rgb,classification,"(0, 0, 19)",81.0,5,5,conc,0,,,,,,,,,,,,1.18674898147583
train_score,rgb,classification,"(0, 0, 1)",81.0,9,2.5,none,0,2.0852248668670654,0.0,0.0,599296.0,74912.0,0.8889086246490479,0.0,0.0,0.5625,0.9036202430725098,0.0,
val_score,rgb,classification,"(0, 0, 1)",81.0,9,2.5,none,0,2.067868947982788,0.0,0.0,126728.0,15841.0,0.888886034488678,0.0,0.0,0.6160714626312256,0.9017078280448914,0.0,
test_score,rgb,classification,"(0, 0, 1)",81.0,9,2.5,none,0,2.0782363414764404,0.0,0.0,93504.0,11688.0,0.8888862729072571,0.0,0.0,0.59375,0.902859091758728,0.0,
train_score,rgb,classification,"(0, 0, 22)",27.0,9,5,avg,0,,,,,,,,,,,,1.2842462062835693
val_score,rgb,classification,"(0, 0, 22)",27.0,9,5,avg,0,,,,,,,,,,,,2.086111545562744
test_score,rgb,classification,"(0, 0, 22)",27.0,9,5,avg,0,,,,,,,,,,,,1.769855260848999
train_score,twostream,classification,"(0, 0, 13)",81.0,3,2.5,none,0,,,,,,,,,,,,0.7475637793540955
val_score,twostream,classification,"(0, 0, 13)",81.0,3,2.5,none,0,,,,,,,,,,,,1.079209327697754
test_score,twostream,classification,"(0, 0, 13)",81.0,3,2.5,none,0,,,,,,,,,,,,1.095886468887329
train_score,twostream,classification,"(0, 0, 6)",81.0,3,5,avg,0,,,,,,,,,,,,1.098838448524475
