,featureType,prblemType,confID,budget,eng_lvls,divide,fusionType,repeats,loss,tp,fp,tn,fn,acc,prec,rec,auc,BC,MCC,0
val_score,twostream,classification,"(0, 0, 6)",81.0,3,5,avg,0,,,,,,,,,,,,1.09883451461792
test_score,twostream,classification,"(0, 0, 6)",81.0,3,5,avg,0,,,,,,,,,,,,1.0988343954086304
train_score,twostream,classification,"(0, 0, 11)",27.0,3,5,conc,0,,,,,,,,,,,,1.070824146270752
val_score,twostream,classification,"(0, 0, 11)",27.0,3,5,conc,0,,,,,,,,,,,,1.0955923795700073
test_score,twostream,classification,"(0, 0, 11)",27.0,3,5,conc,0,,,,,,,,,,,,1.087359070777893
train_score,twostream,classification,"(0, 0, 18)",27.0,5,2.5,none,0,,,,,,,,,,,,0.8538748025894165
val_score,twostream,classification,"(0, 0, 18)",27.0,5,2.5,none,0,,,,,,,,,,,,1.444673776626587
test_score,twostream,classification,"(0, 0, 18)",27.0,5,2.5,none,0,,,,,,,,,,,,1.4214508533477783
train_score,twostream,classification,"(0, 0, 13)",27.0,5,5,avg,0,,,,,,,,,,,,0.7079135775566101
val_score,twostream,classification,"(0, 0, 13)",27.0,5,5,avg,0,,,,,,,,,,,,1.409240484237671
test_score,twostream,classification,"(0, 0, 13)",27.0,5,5,avg,0,,,,,,,,,,,,1.0741046667099
train_score,twostream,classification,"(0, 0, 20)",9.0,5,5,conc,0,,,,,,,,,,,,0.6647835373878479
val_score,twostream,classification,"(0, 0, 20)",9.0,5,5,conc,0,,,,,,,,,,,,1.4949672222137451
test_score,twostream,classification,"(0, 0, 20)",9.0,5,5,conc,0,,,,,,,,,,,,1.1351875066757202
train_score,twostream,classification,"(0, 0, 21)",81.0,9,5,avg,0,,,,,,,,,,,,1.084076166152954
val_score,twostream,classification,"(0, 0, 21)",81.0,9,5,avg,0,,,,,,,,,,,,1.9952096939086914
test_score,twostream,classification,"(0, 0, 21)",81.0,9,5,avg,0,,,,,,,,,,,,1.6628886461257935
