,featureType,prblemType,confID,budget,eng_lvls,divide,fusionType,repeats,thisloss,tp,fp,tn,fn,acc,prec,rec,auc,BC,MCC
train_score,handcrafted,classification,"(0, 0, 21)",81.0,2,5,ProWSyn,0,0.2966513931751251,6031.0,879.0,6031.0,879.0,0.8727930784225464,0.8727930784225464,0.8727930784225464,0.9468823671340942,0.3704538345336914,0.7546197175979614
val_score,handcrafted,classification,"(0, 0, 21)",81.0,2,5,ProWSyn,0,3.430187463760376,1026.0,534.0,1026.0,534.0,0.6576923131942749,0.6576923131942749,0.6576923131942749,0.6393388509750366,1.9425898790359497,0.3485328257083893
test_score,handcrafted,classification,"(0, 0, 21)",81.0,2,5,ProWSyn,0,0.5127167105674744,1286.0,418.0,1286.0,418.0,0.7546948194503784,0.7546948194503784,0.7546948194503784,0.8370954990386963,0.5092213153839111,0.5156154632568359
train_score,handcrafted,classification,"(0, 0, 19)",27.0,2,5,distance_SMOTE,0,0.5277730226516724,5179.0,1731.0,5179.0,1731.0,0.7494934797286987,0.7494934797286987,0.7494934797286987,0.8199396729469299,0.5784493684768677,0.5118953585624695
val_score,handcrafted,classification,"(0, 0, 19)",27.0,2,5,distance_SMOTE,0,0.9365594983100891,893.0,667.0,893.0,667.0,0.5724359154701233,0.5724359154701233,0.5724359154701233,0.5849725008010864,0.778830885887146,0.1468946635723114
test_score,handcrafted,classification,"(0, 0, 19)",27.0,2,5,distance_SMOTE,0,0.595550000667572,1167.0,537.0,1167.0,537.0,0.6848591566085815,0.6848591566085815,0.6848591566085815,0.7494319081306458,0.6187586784362793,0.4057503342628479
train_score,handcrafted,classification,"(0, 0, 5)",27.0,2,5,polynom_fit_SMOTE,0,0.3110809326171875,5789.0,945.0,5789.0,945.0,0.8596673607826233,0.8596673607826233,0.8596673607826233,0.9414852261543274,0.38985010981559753,0.7210267782211304
val_score,handcrafted,classification,"(0, 0, 5)",27.0,2,5,polynom_fit_SMOTE,0,0.45617708563804626,1286.0,259.0,1286.0,259.0,0.8323624730110168,0.8323624730110168,0.8323624730110168,0.89350825548172,0.4925245940685272,0.6667881011962891
test_score,handcrafted,classification,"(0, 0, 5)",27.0,2,5,polynom_fit_SMOTE,0,0.32317233085632324,1486.0,248.0,1486.0,248.0,0.8569780588150024,0.8569780588150024,0.8569780588150024,0.9376769065856934,0.3989270031452179,0.7151455879211426
train_score,handcrafted,classification,"(0, 0, 6)",27.0,2,5s,none,0,0.5063169598579407,9619.0,3129.0,9619.0,3129.0,0.7545497417449951,0.7545497417449951,0.7545497417449951,0.8277374505996704,0.5389454364776611,0.5103785991668701
val_score,handcrafted,classification,"(0, 0, 6)",27.0,2,5s,none,0,0.9561814069747925,1450.0,1116.0,1450.0,1116.0,0.5650818347930908,0.5650818347930908,0.5650818347930908,0.5713167786598206,0.7557574510574341,0.13567622005939484
test_score,handcrafted,classification,"(0, 0, 6)",27.0,2,5s,none,0,0.5981888771057129,2121.0,931.0,2121.0,931.0,0.6949541568756104,0.6949541568756104,0.6949541568756104,0.7364434003829956,0.6085759401321411,0.39573949575424194
train_score,handcrafted,classification,"(0, 0, 15)",243.0,2,5s,ProWSyn,0,0.2865036725997925,11112.0,1636.0,11112.0,1636.0,0.8716661334037781,0.8716661334037781,0.8716661334037781,0.9511255621910095,0.3462674617767334,0.7439706921577454
val_score,handcrafted,classification,"(0, 0, 15)",243.0,2,5s,ProWSyn,0,0.9807106852531433,1618.0,948.0,1618.0,948.0,0.6305533647537231,0.6305533647537231,0.6305533647537231,0.7005787491798401,0.7067492604255676,0.26690614223480225
test_score,handcrafted,classification,"(0, 0, 15)",243.0,2,5s,ProWSyn,0,0.4502193033695221,2421.0,631.0,2421.0,631.0,0.793250322341919,0.793250322341919,0.793250322341919,0.877372682094574,0.4735006093978882,0.6036345958709717
train_score,handcrafted,classification,"(0, 0, 24)",27.0,2,5s,distance_SMOTE,0,0.3469558358192444,10842.0,1906.0,10842.0,1906.0,0.8504863381385803,0.8504863381385803,0.8504863381385803,0.9270777106285095,0.42191919684410095,0.7042478322982788
val_score,handcrafted,classification,"(0, 0, 24)",27.0,2,5s,distance_SMOTE,0,0.8245946764945984,1608.0,958.0,1608.0,958.0,0.6266562938690186,0.6266562938690186,0.6266562938690186,0.666333794593811,0.6873787045478821,0.2571919858455658
test_score,handcrafted,classification,"(0, 0, 24)",27.0,2,5s,distance_SMOTE,0,0.5492745041847229,2259.0,793.0,2259.0,793.0,0.7401703596115112,0.7401703596115112,0.7401703596115112,0.8079556822776794,0.5531015992164612,0.5007275342941284
train_score,handcrafted,classification,"(0, 0, 17)",81.0,2,5s,polynom_fit_SMOTE,0,0.22794096171855927,10925.0,1141.0,10925.0,1141.0,0.9054367542266846,0.9054367542266846,0.9054367542266846,0.9681125283241272,0.28112196922302246,0.814665675163269
val_score,handcrafted,classification,"(0, 0, 17)",81.0,2,5s,polynom_fit_SMOTE,0,0.5061430335044861,2092.0,570.0,2092.0,570.0,0.7858752608299255,0.7858752608299255,0.7858752608299255,0.8727548122406006,0.45772987604141235,0.5900809168815613
test_score,handcrafted,classification,"(0, 0, 17)",81.0,2,5s,polynom_fit_SMOTE,0,0.23294943571090698,2713.0,303.0,2713.0,303.0,0.8995358347892761,0.8995358347892761,0.8995358347892761,0.9681437015533447,0.29032784700393677,0.7990520000457764
train_score,handcrafted,classification,"(0, 0, 12)",81.0,3,2.5,none,0,0.8639974594116211,16570.0,5220.0,84108.0,28094.0,0.7513731122016907,0.7604405879974365,0.3709923028945923,0.8052781820297241,0.6213482022285461,0.44110777974128723
val_score,handcrafted,classification,"(0, 0, 12)",81.0,3,2.5,none,0,1.184802532196045,1200.0,2005.0,15983.0,7794.0,0.6368318200111389,0.37441498041152954,0.13342228531837463,0.530995786190033,0.7208983302116394,0.03808879479765892
test_score,handcrafted,classification,"(0, 0, 12)",81.0,3,2.5,none,0,0.9170250296592712,1591.0,1112.0,20296.0,9113.0,0.6815831661224365,0.5886052250862122,0.14863602817058563,0.7782907485961914,0.6371340155601501,0.35008689761161804
train_score,handcrafted,classification,"(0, 0, 16)",81.0,3,2.5,ProWSyn,0,0.693575918674469,27691.0,8372.0,80956.0,16973.0,0.8108461499214172,0.7678506970405579,0.6199847459793091,0.8733171820640564,0.4641473591327667,0.5633948445320129
val_score,handcrafted,classification,"(0, 0, 16)",81.0,3,2.5,ProWSyn,0,1.3739570379257202,2572.0,4139.0,13849.0,6422.0,0.6085910797119141,0.3832513689994812,0.2859684228897095,0.529431939125061,0.7022616267204285,0.05161973461508751
test_score,handcrafted,classification,"(0, 0, 16)",81.0,3,2.5,ProWSyn,0,0.8309919834136963,4428.0,1762.0,19646.0,6276.0,0.7496885061264038,0.7153473496437073,0.4136771261692047,0.8103448748588562,0.5280583500862122,0.49848443269729614
train_score,handcrafted,classification,"(0, 0, 3)",243.0,3,2.5,distance_SMOTE,0,0.647800624370575,28602.0,8295.0,81033.0,16062.0,0.8182205557823181,0.7751849889755249,0.6403815150260925,0.8898036479949951,0.4502617418766022,0.5793340802192688
val_score,handcrafted,classification,"(0, 0, 3)",243.0,3,2.5,distance_SMOTE,0,1.4627163410186768,2166.0,4301.0,13687.0,6828.0,0.5875399112701416,0.3349311947822571,0.24082721769809723,0.5155881643295288,0.7411763668060303,0.014627776108682156
test_score,handcrafted,classification,"(0, 0, 3)",243.0,3,2.5,distance_SMOTE,0,0.7739986777305603,5684.0,1562.0,19846.0,5020.0,0.7950299978256226,0.7844327688217163,0.53101646900177,0.8390481472015381,0.5075366497039795,0.462362140417099
train_score,handcrafted,classification,"(0, 0, 25)",243.0,3,2.5,polynom_fit_SMOTE,0,0.4769245386123657,35535.0,6118.0,83638.0,9343.0,0.8851627707481384,0.8531198501586914,0.7918133735656738,0.9440751671791077,0.5908361077308655,0.7387349009513855
val_score,handcrafted,classification,"(0, 0, 25)",243.0,3,2.5,polynom_fit_SMOTE,0,1.2994157075881958,3859.0,3754.0,13874.0,4955.0,0.6706373691558838,0.5068960785865784,0.4378261864185333,0.6389589905738831,0.8963341116905212,0.2602391839027405
test_score,handcrafted,classification,"(0, 0, 25)",243.0,3,2.5,polynom_fit_SMOTE,0,0.602985143661499,7152.0,1217.0,19879.0,3396.0,0.8542220592498779,0.8545823693275452,0.6780432462692261,0.9191097021102905,0.645698606967926,0.6703053712844849
train_score,handcrafted,classification,"(0, 0, 24)",27.0,3,5,none,0,0.5698705911636353,15323.0,4201.0,40307.0,6931.0,0.8332582712173462,0.7848289012908936,0.6885503530502319,0.9127107262611389,0.5496011972427368,0.6325225830078125
val_score,handcrafted,classification,"(0, 0, 24)",27.0,3,5,none,0,1.7706643342971802,1360.0,2449.0,6545.0,3137.0,0.5859461426734924,0.3570491075515747,0.3024238348007202,0.520817756652832,0.9792824387550354,0.042427416890859604
test_score,handcrafted,classification,"(0, 0, 24)",27.0,3,5,none,0,0.7531018257141113,2079.0,965.0,9745.0,3276.0,0.736009955406189,0.6829829216003418,0.38823530077934265,0.8551678657531738,0.6365011930465698,0.6690816283226013
train_score,handcrafted,classification,"(0, 0, 9)",81.0,3,5,ProWSyn,0,0.3189070224761963,18939.0,3019.0,41489.0,3315.0,0.9051255583763123,0.8625102639198303,0.8510380387306213,0.9699482321739197,1.2826775312423706,0.7916427850723267
val_score,handcrafted,classification,"(0, 0, 9)",81.0,3,5,ProWSyn,0,6.005556106567383,1802.0,2635.0,6359.0,2695.0,0.6049216985702515,0.40613025426864624,0.4007115960121155,0.5535299181938171,3.5781772136688232,0.12251546233892441
test_score,handcrafted,classification,"(0, 0, 9)",81.0,3,5,ProWSyn,0,0.3839918375015259,4382.0,900.0,9810.0,973.0,0.8834112286567688,0.8296099901199341,0.8183006644248962,0.9570066332817078,1.2186435461044312,0.7409337759017944
train_score,handcrafted,classification,"(0, 0, 17)",81.0,3,5,distance_SMOTE,0,0.4853125214576721,16976.0,4041.0,40467.0,5278.0,0.8604142069816589,0.8077270984649658,0.7628291249275208,0.9367321729660034,0.4329715967178345,0.6837804913520813
val_score,handcrafted,classification,"(0, 0, 17)",81.0,3,5,distance_SMOTE,0,1.838280200958252,1469.0,2378.0,6616.0,3028.0,0.5992882251739502,0.3818559944629669,0.32666221261024475,0.5408478379249573,0.9219010472297668,0.07343529164791107
test_score,handcrafted,classification,"(0, 0, 17)",81.0,3,5,distance_SMOTE,0,0.7688719034194946,2430.0,908.0,9802.0,2925.0,0.761405885219574,0.7279808521270752,0.45378151535987854,0.8033877015113831,0.5573976039886475,0.30349475145339966
train_score,handcrafted,classification,"(0, 0, 24)",81.0,3,5,polynom_fit_SMOTE,0,0.46117109060287476,18188.0,2953.0,42179.0,4378.0,0.8917104601860046,0.8603188395500183,0.8059912919998169,0.9471864104270935,0.4782521724700928,0.7542234063148499
val_score,handcrafted,classification,"(0, 0, 24)",81.0,3,5,polynom_fit_SMOTE,0,1.3127471208572388,1965.0,1830.0,6946.0,2423.0,0.6769219636917114,0.5177865624427795,0.4478122293949127,0.6480258107185364,0.7794288396835327,0.25029128789901733
test_score,handcrafted,classification,"(0, 0, 24)",81.0,3,5,polynom_fit_SMOTE,0,0.5182424187660217,4432.0,556.0,9952.0,822.0,0.9125745892524719,0.8885324597358704,0.8435477614402771,0.9513109922409058,0.4942089319229126,0.8057209849357605
train_score,handcrafted,classification,"(0, 0, 18)",81.0,3,5s,none,0,0.8323023319244385,9034.0,3534.0,34710.0,10088.0,0.7625423669815063,0.7188096642494202,0.47244012355804443,0.8132195472717285,0.5417669415473938,0.45255130529403687
val_score,handcrafted,classification,"(0, 0, 18)",81.0,3,5s,none,0,1.2209620475769043,889.0,1501.0,6197.0,2960.0,0.6136659383773804,0.37196654081344604,0.23096908628940582,0.5509556531906128,0.6785235404968262,0.03261183574795723
test_score,handcrafted,classification,"(0, 0, 18)",81.0,3,5s,none,0,0.9214410185813904,1012.0,559.0,8597.0,3566.0,0.6996508836746216,0.6441757082939148,0.2210572361946106,0.7264000177383423,0.5841302275657654,0.10140994191169739
train_score,handcrafted,classification,"(0, 0, 12)",27.0,3,5s,ProWSyn,0,0.6752302050590515,12010.0,3432.0,34812.0,7112.0,0.8161975145339966,0.7777490019798279,0.6280723810195923,0.8809821605682373,0.4738890826702118,0.5820378065109253
val_score,handcrafted,classification,"(0, 0, 12)",27.0,3,5s,ProWSyn,0,1.2996253967285156,1333.0,1739.0,5959.0,2516.0,0.631506085395813,0.4339192807674408,0.34632372856140137,0.5968408584594727,0.698795735836029,0.13744153082370758
test_score,handcrafted,classification,"(0, 0, 12)",27.0,3,5s,ProWSyn,0,0.7734051942825317,1680.0,613.0,8543.0,2898.0,0.7443563342094421,0.7326646447181702,0.3669724762439728,0.8635259866714478,0.5229527950286865,0.675778329372406
train_score,handcrafted,classification,"(0, 0, 19)",81.0,3,5s,distance_SMOTE,0,0.7591807246208191,10497.0,3514.0,34730.0,8625.0,0.7883936762809753,0.7491970658302307,0.5489488840103149,0.8472001552581787,0.4997929632663727,0.5024814605712891
val_score,handcrafted,classification,"(0, 0, 19)",81.0,3,5s,distance_SMOTE,0,1.311853289604187,963.0,1800.0,5898.0,2886.0,0.5941804051399231,0.3485341966152191,0.25019484758377075,0.5360833406448364,0.6943831443786621,-0.016739318147301674
test_score,handcrafted,classification,"(0, 0, 19)",81.0,3,5s,distance_SMOTE,0,0.8282327651977539,1333.0,662.0,8494.0,3245.0,0.7155226469039917,0.6681704521179199,0.2911751866340637,0.8372259736061096,0.5327674746513367,0.6634302139282227
train_score,handcrafted,classification,"(0, 0, 9)",27.0,3,5s,polynom_fit_SMOTE,0,0.6474135518074036,13041.0,2923.0,35143.0,5992.0,0.8438675999641418,0.8169005513191223,0.6851783990859985,0.9002317786216736,0.5816805958747864,0.6533075571060181
val_score,handcrafted,classification,"(0, 0, 9)",27.0,3,5s,polynom_fit_SMOTE,0,1.1829394102096558,1102.0,1214.0,6424.0,2717.0,0.6568910479545593,0.475820392370224,0.2885572016239166,0.6119809150695801,0.7545098066329956,0.171308696269989
test_score,handcrafted,classification,"(0, 0, 9)",27.0,3,5s,polynom_fit_SMOTE,0,0.7581564784049988,3247.0,683.0,8343.0,1266.0,0.8560454249382019,0.8262086510658264,0.7194770574569702,0.8667443990707397,0.6117680668830872,0.7001835703849792
train_score,handcrafted,classification,"(0, 0, 12)",81.0,5,2.5,none,0,0.8788711428642273,24275.0,5051.0,232609.0,35140.0,0.8647103905677795,0.8277637362480164,0.4085668623447418,0.8964481949806213,1.1922162771224976,0.5273805856704712
val_score,handcrafted,classification,"(0, 0, 12)",81.0,5,2.5,none,0,1.5929242372512817,637.0,1952.0,35296.0,8675.0,0.7717567086219788,0.246040940284729,0.0684063583612442,0.6460022926330566,1.6073819398880005,0.036691196262836456
test_score,handcrafted,classification,"(0, 0, 12)",81.0,5,2.5,none,0,1.2113268375396729,655.0,957.0,35443.0,8445.0,0.7933635711669922,0.4063275456428528,0.07197802513837814,0.7984573841094971,1.4881539344787598,0.25271299481391907
train_score,handcrafted,classification,"(0, 0, 15)",243.0,5,2.5,ProWSyn,0,0.9173870086669922,13489.0,475.0,237177.0,45924.0,0.8438100218772888,0.9659839868545532,0.22703784704208374,0.8871937394142151,1.5861916542053223,0.4768850803375244
val_score,handcrafted,classification,"(0, 0, 15)",243.0,5,2.5,ProWSyn,0,1.979036569595337,26.0,307.0,36941.0,9286.0,0.7939653992652893,0.07807807624340057,0.0027920962311327457,0.6312123537063599,1.4678047895431519,0.00353243388235569
test_score,handcrafted,classification,"(0, 0, 15)",243.0,5,2.5,ProWSyn,0,1.2725578546524048,4.0,14.0,36386.0,9096.0,0.7997821569442749,0.2222222238779068,0.00043956044828519225,0.7471201419830322,0.9178793430328369,0.20720331370830536
train_score,handcrafted,classification,"(0, 0, 14)",81.0,5,2.5,distance_SMOTE,0,0.8501827120780945,24683.0,4495.0,233157.0,34730.0,0.8679581880569458,0.8459455966949463,0.41544780135154724,0.9054629802703857,0.8974862694740295,0.5474455952644348
val_score,handcrafted,classification,"(0, 0, 14)",81.0,5,2.5,distance_SMOTE,0,1.5865567922592163,803.0,1630.0,35618.0,8509.0,0.7822381258010864,0.330045223236084,0.08623281866312027,0.6478610038757324,1.1836949586868286,0.04627499729394913
test_score,handcrafted,classification,"(0, 0, 14)",81.0,5,2.5,distance_SMOTE,0,1.1851741075515747,1693.0,1070.0,35330.0,7407.0,0.8136921525001526,0.6127398014068604,0.18604396283626556,0.812638521194458,1.109132170677185,0.4367865324020386
train_score,handcrafted,classification,"(0, 0, 8)",81.0,5,2.5,polynom_fit_SMOTE,0,0.577922523021698,40848.0,3424.0,235020.0,18763.0,0.925561249256134,0.9226599335670471,0.6852426528930664,0.9706771969795227,0.6408385038375854,0.7960131764411926
val_score,handcrafted,classification,"(0, 0, 8)",81.0,5,2.5,polynom_fit_SMOTE,0,1.551966667175293,1395.0,1938.0,32826.0,7296.0,0.7875043153762817,0.4185418486595154,0.1605108678340912,0.7281838655471802,0.6184141039848328,0.209630087018013
test_score,handcrafted,classification,"(0, 0, 8)",81.0,5,2.5,polynom_fit_SMOTE,0,0.9779950976371765,2902.0,1231.0,37561.0,6796.0,0.8344612717628479,0.7021533846855164,0.2992369532585144,0.8873432278633118,0.538241982460022,0.5968276262283325
train_score,handcrafted,classification,"(0, 0, 17)",27.0,5,5,none,0,0.9094351530075073,9576.0,3955.0,90605.0,14064.0,0.8475551009178162,0.7077082395553589,0.40507614612579346,0.8894883394241333,0.8731182813644409,0.47846558690071106
val_score,handcrafted,classification,"(0, 0, 17)",27.0,5,5,none,0,2.228219747543335,641.0,1680.0,16848.0,3991.0,0.7551382184028625,0.27617406845092773,0.13838514685630798,0.6300112009048462,1.1512665748596191,0.02919473499059677
test_score,handcrafted,classification,"(0, 0, 17)",27.0,5,5,none,0,1.0817753076553345,887.0,748.0,12848.0,2512.0,0.8081789016723633,0.5425076484680176,0.26095911860466003,0.8252488970756531,0.9166213870048523,0.25171512365341187
train_score,handcrafted,classification,"(0, 0, 20)",243.0,5,5,ProWSyn,0,0.39266499876976013,19184.0,2847.0,91713.0,4456.0,0.9382151365280151,0.8707730174064636,0.811505913734436,0.9802865386009216,0.4675895571708679,0.7937424182891846
val_score,handcrafted,classification,"(0, 0, 20)",243.0,5,5,ProWSyn,0,3.6915297508239746,1401.0,2572.0,15956.0,3231.0,0.7494386434555054,0.35263025760650635,0.3024611473083496,0.6557852029800415,1.0995489358901978,0.135732039809227
test_score,handcrafted,classification,"(0, 0, 20)",243.0,5,5,ProWSyn,0,1.0756710767745972,1655.0,1249.0,12347.0,1744.0,0.8238892555236816,0.569903552532196,0.4869078993797302,0.8614990711212158,0.6113044023513794,0.33621829748153687
train_score,handcrafted,classification,"(0, 0, 2)",243.0,5,5,distance_SMOTE,0,0.6078752875328064,16195.0,4409.0,90151.0,7445.0,0.8997126221656799,0.7860124111175537,0.6850676536560059,0.9499592185020447,1.3623669147491455,0.6618292927742004
val_score,handcrafted,classification,"(0, 0, 2)",243.0,5,5,distance_SMOTE,0,4.120794296264648,1129.0,2519.0,16009.0,3503.0,0.7399827241897583,0.30948466062545776,0.24373920261859894,0.6205636858940125,2.2323429584503174,0.07869739085435867
test_score,handcrafted,classification,"(0, 0, 2)",243.0,5,5,distance_SMOTE,0,1.1025115251541138,1439.0,1247.0,12349.0,1960.0,0.8112972378730774,0.535740852355957,0.42335981130599976,0.8431709408760071,1.6369812488555908,0.2634944021701813
train_score,handcrafted,classification,"(0, 0, 26)",27.0,5,5,polynom_fit_SMOTE,0,0.5168101787567139,18559.0,4022.0,92206.0,5498.0,0.9208544492721558,0.8218856453895569,0.7714594602584839,0.9652754664421082,0.5300710201263428,0.7371141314506531
val_score,handcrafted,classification,"(0, 0, 26)",27.0,5,5,polynom_fit_SMOTE,0,2.0337166786193848,1392.0,2331.0,15013.0,2944.0,0.7566879987716675,0.37389200925827026,0.32103320956230164,0.7072849869728088,0.8224216103553772,0.17219412326812744
test_score,handcrafted,classification,"(0, 0, 26)",27.0,5,5,polynom_fit_SMOTE,0,0.9451775550842285,2115.0,1112.0,13440.0,1523.0,0.8551403284072876,0.6554074883460999,0.5813633799552917,0.8898071050643921,0.5979897975921631,0.480604350566864
train_score,handcrafted,classification,"(0, 0, 24)",27.0,5,5s,none,0,0.669305682182312,15049.0,4310.0,97410.0,10381.0,0.8844588994979858,0.7773645520210266,0.5917813777923584,0.9383881092071533,0.44518157839775085,0.639627993106842
val_score,handcrafted,classification,"(0, 0, 24)",27.0,5,5s,none,0,2.868351936340332,691.0,1586.0,14382.0,3301.0,0.7551602125167847,0.3034694790840149,0.1730961948633194,0.6404427886009216,1.0318353176116943,0.06603169441223145
test_score,handcrafted,classification,"(0, 0, 24)",27.0,5,5s,none,0,1.0854185819625854,1690.0,794.0,14790.0,2206.0,0.8459959030151367,0.6803542375564575,0.43377822637557983,0.8411955833435059,0.5651112198829651,0.442635715007782
train_score,handcrafted,classification,"(0, 0, 7)",81.0,5,5s,ProWSyn,0,0.7442766427993774,13376.0,2738.0,98982.0,12054.0,0.8836652040481567,0.8300856351852417,0.5259929299354553,0.928806722164154,0.35558953881263733,0.6096582412719727
val_score,handcrafted,classification,"(0, 0, 7)",81.0,5,5s,ProWSyn,0,1.6337523460388184,502.0,1007.0,14961.0,3490.0,0.774699330329895,0.3326706290245056,0.12575151026248932,0.6700370907783508,0.5463075041770935,0.050412699580192566
test_score,handcrafted,classification,"(0, 0, 7)",81.0,5,5s,ProWSyn,0,1.1461073160171509,673.0,559.0,15025.0,3223.0,0.805853009223938,0.5462662577629089,0.17274127900600433,0.8265784382820129,0.441510945558548,0.4694293439388275
train_score,handcrafted,classification,"(0, 0, 9)",27.0,5,5s,distance_SMOTE,0,0.8474221229553223,9593.0,1446.0,100274.0,15837.0,0.864073634147644,0.8690098524093628,0.377231627702713,0.9086143970489502,0.6051957011222839,0.5558106899261475
val_score,handcrafted,classification,"(0, 0, 9)",27.0,5,5s,distance_SMOTE,0,1.5423903465270996,139.0,410.0,15558.0,3853.0,0.7864226698875427,0.2531876266002655,0.03481964021921158,0.646807074546814,0.8067529797554016,0.05050942301750183
test_score,handcrafted,classification,"(0, 0, 9)",27.0,5,5s,distance_SMOTE,0,1.1965984106063843,97.0,252.0,15332.0,3799.0,0.7920438647270203,0.2779369652271271,0.02489733137190342,0.8242703676223755,0.719490110874176,0.43797174096107483
train_score,handcrafted,classification,"(0, 0, 12)",27.0,5,5s,polynom_fit_SMOTE,0,0.5753679275512695,17861.0,3270.0,98554.0,7595.0,0.9146369695663452,0.8452510237693787,0.7016420364379883,0.960382878780365,0.7223924398422241,0.7336400151252747
val_score,handcrafted,classification,"(0, 0, 12)",27.0,5,5s,polynom_fit_SMOTE,0,1.6933902502059937,962.0,1811.0,15457.0,3355.0,0.760667085647583,0.34691670536994934,0.22283993661403656,0.6856805086135864,1.0912636518478394,0.11764975637197495
test_score,handcrafted,classification,"(0, 0, 12)",27.0,5,5s,polynom_fit_SMOTE,0,1.0638041496276855,1314.0,746.0,15846.0,2834.0,0.8273875713348389,0.6378640532493591,0.31677916646003723,0.8435162901878357,0.9840148687362671,0.2644229233264923
train_score,handcrafted,classification,"(0, 0, 10)",27.0,9,2.5,none,0,1.3205487728118896,18070.0,2270.0,585826.0,55442.0,0.9127691388130188,0.8883972764015198,0.24581021070480347,0.8831034302711487,0.6981257200241089,0.41494011878967285
val_score,handcrafted,classification,"(0, 0, 10)",27.0,9,2.5,none,0,2.1480512619018555,146.0,822.0,119130.0,14848.0,0.8838799595832825,0.15082643926143646,0.0097372280433774,0.6651508808135986,0.8401123285293579,0.08121292293071747
test_score,handcrafted,classification,"(0, 0, 10)",27.0,9,2.5,none,0,1.8365236520767212,67.0,324.0,91980.0,11471.0,0.8864127993583679,0.1713555008172989,0.0058068991638720036,0.7526201605796814,0.7837425470352173,0.1338660567998886
