,featureType,prblemType,confID,budget,eng_lvls,divide,fusionType,repeats,thisloss,tp,fp,tn,fn,acc,prec,rec,auc,BC,MCC
train_score,handcrafted,classification,"(0, 0, 10)",81.0,2,2.5,none,0,0.48919954895973206,23144.0,6660.0,23144.0,6660.0,0.7765400409698486,0.7765400409698486,0.7765400409698486,0.8524807691574097,0.5526999235153198,0.5534330010414124
val_score,handcrafted,classification,"(0, 0, 10)",81.0,2,2.5,none,0,0.8076406121253967,3304.0,2702.0,3304.0,2702.0,0.5501165390014648,0.5501165390014648,0.5501165390014648,0.5634612441062927,0.7137874960899353,0.10442174226045609
test_score,handcrafted,classification,"(0, 0, 10)",81.0,2,2.5,none,0,0.6515538692474365,4620.0,2516.0,4620.0,2516.0,0.6474215388298035,0.6474215388298035,0.6474215388298035,0.6852731704711914,0.6487528085708618,0.29578152298927307
train_score,handcrafted,classification,"(0, 0, 8)",27.0,2,2.5,ProWSyn,0,0.26682159304618835,26440.0,3364.0,26440.0,3364.0,0.8871292471885681,0.8871292471885681,0.8871292471885681,0.9571388959884644,0.37721410393714905,0.7788975834846497
val_score,handcrafted,classification,"(0, 0, 8)",27.0,2,2.5,ProWSyn,0,0.670367419719696,4512.0,1494.0,4512.0,1494.0,0.7512487769126892,0.7512487769126892,0.7512487769126892,0.8102895021438599,0.5919580459594727,0.5146991610527039
test_score,handcrafted,classification,"(0, 0, 8)",27.0,2,2.5,ProWSyn,0,0.36311957240104675,5975.0,1161.0,5975.0,1161.0,0.8373038172721863,0.8373038172721863,0.8373038172721863,0.9172441363334656,0.4622478783130646,0.6747195720672607
train_score,handcrafted,classification,"(0, 0, 11)",81.0,2,2.5,distance_SMOTE,0,0.2801080048084259,26570.0,3234.0,26570.0,3234.0,0.8914910554885864,0.8914910554885864,0.8914910554885864,0.9578055143356323,0.37538087368011475,0.7841356992721558
val_score,handcrafted,classification,"(0, 0, 11)",81.0,2,2.5,distance_SMOTE,0,0.8371405005455017,3980.0,2026.0,3980.0,2026.0,0.6626706719398499,0.6626706719398499,0.6626706719398499,0.7085494995117188,0.6628009676933289,0.3505399525165558
test_score,handcrafted,classification,"(0, 0, 11)",81.0,2,2.5,distance_SMOTE,0,0.4440193772315979,5713.0,1423.0,5713.0,1423.0,0.8005885481834412,0.8005885481834412,0.8005885481834412,0.8773342967033386,0.47829094529151917,0.6016741991043091
train_score,handcrafted,classification,"(0, 0, 9)",27.0,2,2.5,polynom_fit_SMOTE,0,0.24690359830856323,25412.0,2826.0,25412.0,2826.0,0.8999220728874207,0.8999220728874207,0.8999220728874207,0.9643727540969849,0.30548349022865295,0.8105760216712952
val_score,handcrafted,classification,"(0, 0, 9)",27.0,2,2.5,polynom_fit_SMOTE,0,0.36697110533714294,5048.0,739.0,5048.0,739.0,0.8722999691963196,0.8722999691963196,0.8722999691963196,0.9223554134368896,0.4113110899925232,0.7538570165634155
test_score,handcrafted,classification,"(0, 0, 9)",27.0,2,2.5,polynom_fit_SMOTE,0,0.21756337583065033,6465.0,583.0,6465.0,583.0,0.9172815084457397,0.9172815084457397,0.9172815084457397,0.9710192680358887,0.31307920813560486,0.8374684453010559
train_score,handcrafted,classification,"(0, 0, 21)",81.0,2,5,none,0,0.5754913687705994,5075.0,1835.0,5075.0,1835.0,0.7344428300857544,0.7344428300857544,0.7344428300857544,0.8073391914367676,0.6280209422111511,0.48632773756980896
val_score,handcrafted,classification,"(0, 0, 21)",81.0,2,5,none,0,0.6916453242301941,866.0,694.0,866.0,694.0,0.5551282167434692,0.5551282167434692,0.5551282167434692,0.5930594205856323,0.6886237263679504,0.11096487194299698
test_score,handcrafted,classification,"(0, 0, 21)",81.0,2,5,none,0,0.6473788619041443,1061.0,643.0,1061.0,643.0,0.6226525902748108,0.6226525902748108,0.6226525902748108,0.6785556674003601,0.6658995747566223,0.26427870988845825
