,featureType,prblemType,confID,budget,eng_lvls,divide,fusionType,repeats,thisloss,tp,fp,tn,fn,acc,prec,rec,auc,BC,MCC
train_score,handcrafted,classification,"(0, 0, 6)",81.0,3,2.5,SMOTE,0,1.0986545085906982,0.0,0.0,89328.0,44664.0,0.6666735410690308,0.0,0.0,0.49956339597702026,0.6931552290916443,-0.025602048262953758
val_score,handcrafted,classification,"(0, 0, 6)",81.0,3,2.5,SMOTE,0,1.099082112312317,0.0,0.0,17988.0,8994.0,0.6666675806045532,0.0,0.0,0.4959995448589325,0.693215548992157,-0.07239491492509842
test_score,handcrafted,classification,"(0, 0, 6)",81.0,3,2.5,SMOTE,0,1.0986075401306152,0.0,0.0,21408.0,10704.0,0.6666682362556458,0.0,0.0,0.5,0.6931485533714294,0.0
train_score,handcrafted,classification,"(0, 0, 14)",27.0,5,2.5,SMOTE,0,1.6082628965377808,43.0,0.0,237660.0,59372.0,0.8001534938812256,1.0,0.000723722972907126,0.5007234811782837,0.695395827293396,0.021275585517287254
val_score,handcrafted,classification,"(0, 0, 14)",27.0,5,2.5,SMOTE,0,1.62333345413208,43.0,7.0,37241.0,9269.0,0.8007746338844299,0.8600000143051147,0.004617697559297085,0.504417896270752,0.7142002582550049,0.05265055224299431
test_score,handcrafted,classification,"(0, 0, 14)",27.0,5,2.5,SMOTE,0,1.6085060834884644,0.0,0.0,36400.0,9100.0,0.8000020384788513,0.0,0.0,0.5,0.6928825974464417,0.0
train_score,handcrafted,classification,"(0, 0, 6)",27.0,5,5,SMOTE,0,1.3893215656280518,22.0,0.0,94560.0,23618.0,0.8001802563667297,1.0,0.000930626061744988,0.6255814433097839,1234407936.0,0.024920064955949783
val_score,handcrafted,classification,"(0, 0, 6)",27.0,5,5,SMOTE,0,2096495488.0,14.0,2.0,18526.0,4618.0,0.8005191087722778,0.875,0.0030224525835365057,0.6266776323318481,4714724352.0,0.04081026092171669
test_score,handcrafted,classification,"(0, 0, 6)",27.0,5,5,SMOTE,0,1.358675241470337,0.0,1.0,13595.0,3399.0,0.7999415397644043,0.0,0.0,0.749889612197876,1.0192304849624634,0.0
train_score,handcrafted,classification,"(0, 0, 11)",9.0,9,2.5,SMOTE,0,2.0806615352630615,0.0,0.0,588096.0,73512.0,0.8889084458351135,0.0,0.0,0.5625,0.8321640491485596,0.0
val_score,handcrafted,classification,"(0, 0, 11)",9.0,9,2.5,SMOTE,0,2.074692487716675,0.0,0.0,119952.0,14994.0,0.8888860940933228,0.0,0.0,0.6071428656578064,0.8315008282661438,0.0
test_score,handcrafted,classification,"(0, 0, 11)",9.0,9,2.5,SMOTE,0,2.0626533031463623,0.0,0.0,92304.0,11538.0,0.8888862729072571,0.0,0.0,0.6666666269302368,0.8301641941070557,0.0
train_score,handcrafted,classification,"(0, 0, 15)",81.0,9,5,SMOTE,0,1.9491418600082397,12.0,0.0,254688.0,31824.0,0.888940155506134,1.0,0.0003769317700061947,0.6251413822174072,0.8603730797767639,0.0
val_score,handcrafted,classification,"(0, 0, 15)",81.0,9,5,SMOTE,0,2.492464542388916,21.0,1.0,59695.0,7441.0,0.889184832572937,0.9545454382896423,0.0028142589144408703,0.6259884834289551,1.4338390827178955,0.0
test_score,handcrafted,classification,"(0, 0, 15)",81.0,9,5,SMOTE,0,1.9182785749435425,0.0,0.0,37880.0,4735.0,0.8888874053955078,0.0,0.0,0.75,0.7817417979240417,0.0
