,featureType,prblemType,confID,budget,eng_lvls,divide,fusionType,repeats,loss,mae,maperc_e,mslog_e,CosineSimilarity,Huber,LogCosh
train_score,flow,regression,"(0, 0, 20)",9.0,3,2.5,none,0,3.6737611293792725,1.7882663011550903,81.5383071899414,0.7371321320533752,-1.7320551872253418,1.3026890754699707,1.1627061367034912
val_score,flow,regression,"(0, 0, 20)",9.0,3,2.5,none,0,2.899775505065918,1.5485000610351562,78.6100845336914,0.6133188009262085,-1.7320536375045776,1.0714991092681885,0.9533798098564148
test_score,flow,regression,"(0, 0, 20)",9.0,3,2.5,none,0,2.801070213317871,1.5975555181503296,81.64517974853516,0.6258934140205383,-1.7320537567138672,1.097629427909851,0.9619618058204651
train_score,flow,regression,"(0, 0, 9)",81.0,3,5,avg,0,3.5302793979644775,1.742624282836914,81.02672576904297,0.7133837938308716,-1.7320548295974731,1.2582404613494873,1.1226176023483276
val_score,flow,regression,"(0, 0, 9)",81.0,3,5,avg,0,2.880023241043091,1.5438846349716187,78.66851043701172,0.6104483604431152,-1.7320514917373657,1.066024899482727,0.9481708407402039
test_score,flow,regression,"(0, 0, 9)",81.0,3,5,avg,0,2.7988803386688232,1.598536491394043,81.67367553710938,0.6263146996498108,-1.732051968574524,1.0985369682312012,0.9625526070594788
train_score,flow,regression,"(0, 0, 3)",9.0,3,5,conc,0,3.4768049716949463,1.7260655164718628,80.84373474121094,0.7047297358512878,-1.7320548295974731,1.2421115636825562,1.1078959703445435
val_score,flow,regression,"(0, 0, 3)",9.0,3,5,conc,0,2.880023241043091,1.5438846349716187,78.66850280761719,0.6104483604431152,-1.7320516109466553,1.066024899482727,0.9481708407402039
test_score,flow,regression,"(0, 0, 3)",9.0,3,5,conc,0,2.7988805770874023,1.5985366106033325,81.67367553710938,0.6263147592544556,-1.732051968574524,1.0985370874404907,0.9625526666641235
train_score,flow,regression,"(0, 0, 4)",81.0,5,2.5,none,0,12.472195625305176,3.338904619216919,93.36713409423828,1.753536581993103,-2.236078977584839,2.8390614986419678,2.6590659618377686
val_score,flow,regression,"(0, 0, 4)",81.0,5,2.5,none,0,10.016844749450684,2.936384439468384,92.29964447021484,1.5173903703689575,-2.2360610961914062,2.4367706775665283,2.264554262161255
test_score,flow,regression,"(0, 0, 4)",81.0,5,2.5,none,0,9.80263900756836,3.0181455612182617,93.39227294921875,1.5704944133758545,-2.2360618114471436,2.518146276473999,2.3307316303253174
train_score,flow,regression,"(0, 0, 6)",27.0,5,5,avg,0,11.944899559020996,3.2507054805755615,93.14240264892578,1.7014132738113403,-2.236074447631836,2.750736713409424,2.572408437728882
val_score,flow,regression,"(0, 0, 6)",27.0,5,5,avg,0,9.958626747131348,2.9286930561065674,92.3206787109375,1.5129015445709229,-2.2360684871673584,2.4289350509643555,2.256269693374634
test_score,flow,regression,"(0, 0, 6)",27.0,5,5,avg,0,9.797005653381348,3.019777297973633,93.40251159667969,1.5715792179107666,-2.2360682487487793,2.519779682159424,2.3322625160217285
train_score,flow,regression,"(0, 0, 1)",9.0,5,5,conc,0,11.938223838806152,3.2500524520874023,93.14640045166016,1.701077938079834,-2.236074447631836,2.7500832080841064,2.57167911529541
val_score,flow,regression,"(0, 0, 1)",9.0,5,5,conc,0,9.958627700805664,2.9286930561065674,92.3206787109375,1.5129015445709229,-2.2360684871673584,2.4289350509643555,2.2562694549560547
test_score,flow,regression,"(0, 0, 1)",9.0,5,5,conc,0,9.797005653381348,3.019777297973633,93.40251922607422,1.5715792179107666,-2.2360682487487793,2.519779682159424,2.3322625160217285
train_score,flow,regression,"(0, 0, 13)",9.0,9,2.5,none,0,43.24646759033203,6.240738868713379,97.9429702758789,3.4973881244659424,-3.0,5.740739345550537,5.548786163330078
val_score,flow,regression,"(0, 0, 13)",9.0,9,2.5,none,0,35.147823333740234,5.534405708312988,97.62335205078125,3.1186509132385254,-3.0,5.034407138824463,4.843173980712891
