,featureType,prblemType,confID,budget,eng_lvls,divide,fusionType,repeats,loss,mae,maperc_e,mslog_e,CosineSimilarity,Huber,LogCosh
train_score,flow,regression,"(0, 0, 0)",9.0,3,2.5,none,0,3.6737723350524902,1.7882663011550903,81.5383071899414,0.7371453046798706,-1.731945276260376,1.302689790725708,1.1627070903778076
val_score,flow,regression,"(0, 0, 0)",9.0,3,2.5,none,0,2.8997960090637207,1.5485000610351562,78.6100845336914,0.613338828086853,-1.73189115524292,1.0715008974075317,0.9533827900886536
test_score,flow,regression,"(0, 0, 0)",9.0,3,2.5,none,0,2.8010990619659424,1.5975555181503296,81.64517211914062,0.6259071826934814,-1.73194420337677,1.0976296663284302,0.9619630575180054
train_score,flow,regression,"(0, 0, 1)",9.0,3,2.5,none,0,3.6739280223846436,1.7882663011550903,81.5383071899414,0.737307071685791,-1.7307641506195068,1.3026981353759766,1.1627181768417358
val_score,flow,regression,"(0, 0, 1)",9.0,3,2.5,none,0,2.900024175643921,1.5485000610351562,78.6100845336914,0.6135631203651428,-1.7301216125488281,1.0715361833572388,0.9534132480621338
test_score,flow,regression,"(0, 0, 1)",9.0,3,2.5,none,0,2.8012423515319824,1.5975555181503296,81.64517974853516,0.6260560154914856,-1.7307913303375244,1.097631573677063,0.9619784355163574
train_score,flow,regression,"(0, 0, 2)",9.0,3,2.5,none,0,3.6737616062164307,1.7882663011550903,81.5383071899414,0.7371324300765991,-1.732054352760315,1.3026890754699707,1.1627061367034912
val_score,flow,regression,"(0, 0, 2)",9.0,3,2.5,none,0,2.8997762203216553,1.5485000610351562,78.6100845336914,0.6133192181587219,-1.7320479154586792,1.0714993476867676,0.9533799886703491
test_score,flow,regression,"(0, 0, 2)",9.0,3,2.5,none,0,2.8010706901550293,1.5975555181503296,81.64517974853516,0.6258936524391174,-1.7320531606674194,1.097629427909851,0.9619618058204651
train_score,flow,regression,"(0, 0, 3)",9.0,3,2.5,none,0,3.6738626956939697,1.7882663011550903,81.5383071899414,0.7372363805770874,-1.7312852144241333,1.3026944398880005,1.1627140045166016
val_score,flow,regression,"(0, 0, 3)",9.0,3,2.5,none,0,2.8999509811401367,1.5485000610351562,78.6100845336914,0.6134858131408691,-1.730692982673645,1.0715254545211792,0.9534080028533936
test_score,flow,regression,"(0, 0, 3)",9.0,3,2.5,none,0,2.8012242317199707,1.5975555181503296,81.64517974853516,0.6260329484939575,-1.7309383153915405,1.0976299047470093,0.9619796276092529
