,featureType,prblemType,confID,budget,eng_lvls,divide,fusionType,repeats,loss,tp,fp,tn,fn,acc,prec,rec,auc,BC,MCC,thisloss
train_score,flow,classification,"(0, 0, 24)",243.0,3,2.5,none,0,0.16095371544361115,43341.0,2024.0,362680.0,2247.0,0.9895876049995422,0.9553841352462769,0.9507107138633728,0.9986011385917664,1.167162537574768,0.9303446412086487,
val_score,flow,classification,"(0, 0, 24)",243.0,3,2.5,none,0,5.4986677169799805,3487.0,5929.0,70295.0,6041.0,0.8604109883308411,0.3703271150588989,0.36597397923469543,0.7411707639694214,1.819823145866394,0.06816313415765762,
test_score,flow,classification,"(0, 0, 24)",243.0,3,2.5,none,0,2.6264302730560303,3909.0,4921.0,82151.0,6975.0,0.878557562828064,0.44269534945487976,0.35915103554725647,0.819735050201416,1.5157209634780884,0.0688609629869461,
train_score,flow,classification,"(0, 0, 21)",81.0,3,5,avg,0,,0.0,0.0,45372.0,22686.0,0.6666631102561951,0.0,0.0,0.5456616282463074,0.6886305809020996,0.051719363778829575,1.0957564115524292
val_score,flow,classification,"(0, 0, 21)",81.0,3,5,avg,0,,0.0,0.0,9528.0,4764.0,0.6666660904884338,0.0,0.0,0.48123225569725037,0.6893542408943176,-0.07722970098257065,1.0999746322631836
test_score,flow,classification,"(0, 0, 21)",81.0,3,5,avg,0,,0.0,0.0,10866.0,5433.0,0.6666658520698547,0.0,0.0,0.5290889739990234,0.6876603960990906,-0.13446740806102753,1.0958952903747559
train_score,flow,classification,"(0, 0, 22)",27.0,3,5,conc,0,,2.0,0.0,45372.0,22684.0,0.6666924953460693,1.0,8.816010085865855e-05,0.5639318227767944,0.7057597041130066,0.0771113708615303,1.0866427421569824
val_score,flow,classification,"(0, 0, 22)",27.0,3,5,conc,0,,0.0,0.0,9528.0,4764.0,0.6666660904884338,0.0,0.0,0.5549828410148621,0.713014543056488,0.02268206514418125,1.0919134616851807
test_score,flow,classification,"(0, 0, 22)",27.0,3,5,conc,0,,0.0,0.0,10866.0,5433.0,0.6666658520698547,0.0,0.0,0.5810216665267944,0.7057154774665833,0.005418934393674135,1.0919679403305054
train_score,flow,classification,"(0, 0, 13)",243.0,5,2.5,none,0,1.8729948997497559,0.0,0.0,485520.0,60690.0,0.8889068961143494,0.0,0.0,0.8090071082115173,0.682892918586731,0.2967302203178406,
val_score,flow,classification,"(0, 0, 13)",243.0,5,2.5,none,0,1.9110820293426514,0.0,0.0,79680.0,9960.0,0.8888863921165466,0.0,0.0,0.7424710392951965,0.6934385299682617,0.027501029893755913,
test_score,flow,classification,"(0, 0, 13)",243.0,5,2.5,none,0,1.9311059713363647,0.0,0.0,74720.0,9340.0,0.8888864517211914,0.0,0.0,0.7296346426010132,0.6900733113288879,0.0008390711154788733,
train_score,flow,classification,"(0, 0, 15)",27.0,5,5,avg,0,,11977.0,3291.0,93237.0,12155.0,0.8719877004623413,0.7844511270523071,0.4963119626045227,0.9213166236877441,0.3893049359321594,0.5561326146125793,0.7850809693336487
val_score,flow,classification,"(0, 0, 15)",27.0,5,5,avg,0,,927.0,2024.0,17816.0,4033.0,0.7557662129402161,0.3141308128833771,0.18689516186714172,0.6627271771430969,0.6191957592964172,0.06628163903951645,1.9170550107955933
test_score,flow,classification,"(0, 0, 15)",27.0,5,5,avg,0,,731.0,778.0,13130.0,2746.0,0.7972963452339172,0.4844267666339874,0.21023871004581451,0.8134105205535889,0.45330730080604553,0.18007083237171173,1.1160515546798706
train_score,flow,classification,"(0, 0, 20)",243.0,5,5,conc,0,,13495.0,3360.0,93168.0,10637.0,0.8839953541755676,0.8006526231765747,0.5592159628868103,0.9361463189125061,0.8375133275985718,0.601722002029419,0.7125529646873474
val_score,flow,classification,"(0, 0, 20)",243.0,5,5,conc,0,,1022.0,1944.0,17896.0,3938.0,0.7628226280212402,0.3445717990398407,0.206048384308815,0.6559484004974365,1.2601690292358398,0.0865730494260788,2.248521327972412
test_score,flow,classification,"(0, 0, 20)",243.0,5,5,conc,0,,896.0,923.0,12985.0,2581.0,0.7984468936920166,0.49257832765579224,0.25769340991973877,0.8171529769897461,0.9385849833488464,0.17583712935447693,1.1032695770263672
train_score,flow,classification,"(0, 0, 25)",9.0,9,2.5,none,0,1.498381495475769,2172.0,120.0,96396.0,10020.0,0.9240819215774536,0.9496475458145142,0.1679205298423767,0.8251252770423889,0.7821989059448242,0.3388512432575226,
val_score,flow,classification,"(0, 0, 25)",9.0,9,2.5,none,0,2.0302696228027344,161.0,288.0,54504.0,6041.0,0.8959982991218567,0.3288043439388275,0.019931765273213387,0.7982081174850464,1.355778694152832,0.20093600451946259,
test_score,flow,classification,"(0, 0, 25)",9.0,9,2.5,none,0,1.8609172105789185,40.0,456.0,96632.0,12096.0,0.8850582838058472,0.08064515888690948,0.0033944330643862486,0.7262911200523376,1.5060029029846191,-0.06834755092859268,
train_score,flow,classification,"(0, 0, 9)",243.0,9,5,avg,0,,12487.0,1833.0,257447.0,19923.0,0.9254142642021179,0.8719971776008606,0.3852823078632355,0.9439572095870972,0.6774991154670715,0.577218234539032,0.9817795753479004
val_score,flow,classification,"(0, 0, 9)",243.0,9,5,avg,0,,497.0,1566.0,61434.0,7378.0,0.8738059997558594,0.24091129004955292,0.06311111152172089,0.6296883821487427,1.0148768424987793,0.03905762732028961,3.1180717945098877
test_score,flow,classification,"(0, 0, 9)",243.0,9,5,avg,0,,87.0,331.0,37989.0,4703.0,0.8832284808158875,0.20813396573066711,0.018162839114665985,0.805202841758728,0.7613878846168518,0.1041664108633995,1.655084490776062
train_score,flow,classification,"(0, 0, 22)",27.0,9,5,conc,0,,406.0,154.0,259126.0,32004.0,0.8897574543952942,0.7250000238418579,0.012526998296380043,0.8857581615447998,0.701933741569519,0.3062732219696045,1.413953423500061
val_score,flow,classification,"(0, 0, 22)",27.0,9,5,conc,0,,100.0,212.0,62788.0,7775.0,0.8873077034950256,0.3205128312110901,0.012698412872850895,0.622730016708374,1.1623291969299316,0.023693472146987915,5.464535713195801
test_score,flow,classification,"(0, 0, 22)",27.0,9,5,conc,0,,26.0,11.0,38309.0,4764.0,0.8892359733581543,0.7027027010917664,0.005427974741905928,0.8070998191833496,0.6510067582130432,0.16226965188980103,1.574115514755249
train_score,handcrafted,classification,"(0, 0, 6)",243.0,3,2.5,none,0,,0.0,0.0,89328.0,44664.0,0.6666735410690308,0.0,0.0,0.5,0.6931421160697937,0.0,1.0986096858978271
val_score,handcrafted,classification,"(0, 0, 6)",243.0,3,2.5,none,0,,1.0,0.0,17988.0,8993.0,0.6667046546936035,1.0,0.00011118523252662271,0.5001111626625061,0.6931301355361938,0.0,1.098517656326294
test_score,handcrafted,classification,"(0, 0, 6)",243.0,3,2.5,none,0,,0.0,0.0,21408.0,10704.0,0.6666682362556458,0.0,0.0,0.5,0.6931459307670593,0.0,1.0986095666885376
train_score,handcrafted,classification,"(0, 0, 8)",27.0,3,5,none,0,,34.0,0.0,44508.0,22220.0,0.667172908782959,1.0,0.0015278152422979474,0.5015154480934143,7136015.5,0.019258100539445877,1.0969769954681396
val_score,handcrafted,classification,"(0, 0, 8)",27.0,3,5,none,0,,23.0,1.0,8993.0,4474.0,0.6682974100112915,0.9583333134651184,0.005114520899951458,0.5039946436882019,45839568.0,0.012915686704218388,31579572.0
test_score,handcrafted,classification,"(0, 0, 8)",27.0,3,5,none,0,,1.0,0.0,10710.0,5354.0,0.666728138923645,1.0,0.00018674136663321406,0.5002800822257996,18.747129440307617,0.011835632845759392,1.0984479188919067
train_score,handcrafted,classification,"(0, 0, 25)",27.0,3,5s,none,0,,139.0,111.0,38133.0,18983.0,0.6671537160873413,0.5559999942779541,0.007269114255905151,0.5079774856567383,0.905663788318634,0.054267968982458115,1.0976656675338745
val_score,handcrafted,classification,"(0, 0, 25)",27.0,3,5s,none,0,,110.0,16.0,7682.0,3739.0,0.6748078465461731,0.8730158805847168,0.028578851372003555,0.5206049084663391,0.8324744701385498,0.15203793346881866,1.0837492942810059
