,featureType,prblemType,confID,budget,eng_lvls,divide,fusionType,repeats,loss,tp,fp,tn,fn,acc,prec,rec,auc,BC,MCC,thisloss
test_score,handcrafted,classification,"(0, 0, 25)",27.0,3,5s,none,0,,33.0,11.0,9145.0,4545.0,0.6682682037353516,0.75,0.007208387833088636,0.5108229517936707,0.8310656547546387,0.08311725407838821,1.0930370092391968
train_score,handcrafted,classification,"(0, 0, 6)",243.0,5,2.5,none,0,,14397.0,993.0,236667.0,45018.0,0.8451244235038757,0.9354775547981262,0.24231255054473877,0.8711053133010864,1.1292208433151245,0.4852502644062042,0.9594770073890686
val_score,handcrafted,classification,"(0, 0, 6)",243.0,5,2.5,none,0,,154.0,598.0,36650.0,9158.0,0.7904637455940247,0.2047872394323349,0.016537800431251526,0.6626400947570801,0.6336957812309265,0.0660891905426979,1.8509963750839233
test_score,handcrafted,classification,"(0, 0, 6)",243.0,5,2.5,none,0,,311.0,249.0,36151.0,8789.0,0.8013635277748108,0.5553571581840515,0.034175824373960495,0.80211341381073,0.5039409399032593,0.38747096061706543,1.2348301410675049
train_score,handcrafted,classification,"(0, 0, 15)",81.0,5,5,none,0,,13.0,0.0,94560.0,23627.0,0.800104022026062,1.0,0.0005499154212884605,0.6254123449325562,0.7971416711807251,0.019152306020259857,1.3855277299880981
val_score,handcrafted,classification,"(0, 0, 15)",81.0,5,5,none,0,,30.0,2.0,18526.0,4602.0,0.8012098073959351,0.9375,0.006476684007793665,0.6295183897018433,0.8048960566520691,0.06372625380754471,1.3915681838989258
test_score,handcrafted,classification,"(0, 0, 15)",81.0,5,5,none,0,,0.0,1.0,13595.0,3399.0,0.7999415397644043,0.0,0.0,0.6248528957366943,0.797764241695404,0.0,1.3857972621917725
train_score,handcrafted,classification,"(0, 0, 18)",9.0,5,5s,none,0,,0.0,0.0,101720.0,25430.0,0.7999935746192932,0.0,0.0,0.5,0.7044299244880676,0.0,1.6114671230316162
val_score,handcrafted,classification,"(0, 0, 18)",9.0,5,5s,none,0,,0.0,0.0,15968.0,3992.0,0.8000006675720215,0.0,0.0,0.625,0.700634241104126,0.0,1.5924845933914185
test_score,handcrafted,classification,"(0, 0, 18)",9.0,5,5s,none,0,,0.0,0.0,15584.0,3896.0,0.8000006675720215,0.0,0.0,0.625,0.7006343603134155,0.0,1.5924842357635498
train_score,handcrafted,classification,"(0, 0, 22)",243.0,9,2.5,none,0,,35.0,0.0,588096.0,73477.0,0.8889608979225159,1.0,0.00047611273475922644,0.5630056858062744,0.6302762031555176,0.01649809442460537,2.0794830322265625
val_score,handcrafted,classification,"(0, 0, 22)",243.0,9,2.5,none,0,,48.0,31.0,119921.0,14946.0,0.8890121579170227,0.607594907283783,0.003201280487701297,0.5918633341789246,0.6440982818603516,0.03313114494085312,2.1275243759155273
test_score,handcrafted,classification,"(0, 0, 22)",243.0,9,2.5,none,0,,6.0,2.0,92302.0,11532.0,0.8889249563217163,0.75,0.0005200207815505564,0.625127375125885,0.6319279670715332,0.0016998545033857226,2.0743014812469482
train_score,handcrafted,classification,"(0, 0, 17)",243.0,9,5,none,0,,0.0,0.0,254688.0,31836.0,0.8888985514640808,0.0,0.0,0.625,0.9925480484962463,0.0,1.9572886228561401
val_score,handcrafted,classification,"(0, 0, 17)",243.0,9,5,none,0,,0.0,0.0,59696.0,7462.0,0.8888866901397705,0.0,0.0,0.625,0.9925469160079956,0.0,1.9572675228118896
test_score,handcrafted,classification,"(0, 0, 17)",243.0,9,5,none,0,,0.0,0.0,37880.0,4735.0,0.8888874053955078,0.0,0.0,0.7000000476837158,0.9871159791946411,0.0,1.9083924293518066
train_score,handcrafted,classification,"(0, 0, 5)",27.0,9,5s,none,0,,0.0,0.0,252352.0,31544.0,0.8888984322547913,0.0,0.0,0.5627377033233643,0.7915611267089844,0.013461694121360779,2.079359531402588
val_score,handcrafted,classification,"(0, 0, 5)",27.0,9,5s,none,0,,0.0,0.0,51520.0,6440.0,0.8888869285583496,0.0,0.0,0.5874441862106323,0.7911936640739441,0.06575926393270493,2.0755763053894043
test_score,handcrafted,classification,"(0, 0, 5)",27.0,9,5s,none,0,,0.0,0.0,39504.0,4938.0,0.8888872265815735,0.0,0.0,0.6041666865348816,0.7915359139442444,0.0,2.079115867614746
train_score,rgb,classification,"(0, 0, 26)",81.0,3,2.5,none,0,0.32129353284835815,39767.0,5525.0,359179.0,5821.0,0.9723476767539978,0.8780137896537781,0.8723129034042358,0.9926750659942627,0.9978063702583313,0.8130818605422974,
val_score,rgb,classification,"(0, 0, 26)",81.0,3,2.5,none,0,2.9458038806915283,4613.0,4844.0,71380.0,4915.0,0.8861948847770691,0.48778682947158813,0.4841519594192505,0.7929560542106628,1.2274036407470703,0.2736225426197052,
test_score,rgb,classification,"(0, 0, 26)",81.0,3,2.5,none,0,2.770331382751465,3810.0,6979.0,80093.0,7074.0,0.8565356731414795,0.35313746333122253,0.35005512833595276,0.7523888945579529,1.2309569120407104,0.04216443747282028,
train_score,rgb,classification,"(0, 0, 1)",81.0,3,5,avg,0,,4446.0,318.0,45054.0,18240.0,0.7273200154304504,0.9332493543624878,0.19597989320755005,0.8115677833557129,0.6304086446762085,0.41114434599876404,0.8623385429382324
val_score,rgb,classification,"(0, 0, 1)",81.0,3,5,avg,0,,21.0,143.0,9385.0,4743.0,0.6581305265426636,0.12804877758026123,0.004408060573041439,0.4841556251049042,0.7366844415664673,-0.009102588519454002,1.142072319984436
test_score,rgb,classification,"(0, 0, 1)",81.0,3,5,avg,0,,8.0,34.0,10832.0,5425.0,0.6650707721710205,0.190476194024086,0.0014724829234182835,0.5845481157302856,0.6964810490608215,0.0019684499129652977,1.0394246578216553
train_score,rgb,classification,"(0, 0, 5)",27.0,3,5,conc,0,,1669.0,19.0,45353.0,21017.0,0.6909088492393494,0.9887440800666809,0.07356960326433182,0.7387452125549316,0.6583428382873535,0.32963988184928894,0.999920129776001
val_score,rgb,classification,"(0, 0, 5)",27.0,3,5,conc,0,,53.0,11.0,9517.0,4711.0,0.6696048378944397,0.828125,0.011125104501843452,0.6415812969207764,0.6850119233131409,0.11878389865159988,1.0625211000442505
test_score,rgb,classification,"(0, 0, 5)",27.0,3,5,conc,0,,0.0,4.0,10862.0,5433.0,0.6664204597473145,0.0,0.0,0.6604152917861938,0.6951248645782471,0.4281865060329437,1.0693377256393433
train_score,rgb,classification,"(0, 0, 20)",81.0,5,2.5,none,0,0.0061265346594154835,60532.0,158.0,485362.0,158.0,0.999420702457428,0.9973965883255005,0.9973965883255005,0.9999973177909851,2.4131829738616943,0.9967470765113831,
val_score,rgb,classification,"(0, 0, 20)",81.0,5,2.5,none,0,16.073108673095703,3498.0,6462.0,73218.0,6462.0,0.8558230996131897,0.3512048125267029,0.3512048125267029,0.6611813902854919,3.678785562515259,0.1648559272289276,
test_score,rgb,classification,"(0, 0, 20)",81.0,5,2.5,none,0,17.77217674255371,2529.0,6804.0,67916.0,6811.0,0.8380316495895386,0.27097395062446594,0.2707708775997162,0.6104013323783875,3.608785390853882,0.04531333968043327,
train_score,rgb,classification,"(0, 0, 15)",27.0,5,5,avg,0,,9690.0,2119.0,94409.0,14442.0,0.8627468347549438,0.8205605745315552,0.401541531085968,0.9170261025428772,0.6871763467788696,0.5375504493713379,0.8292252421379089
val_score,rgb,classification,"(0, 0, 15)",27.0,5,5,avg,0,,385.0,400.0,19440.0,4575.0,0.7993952035903931,0.4904458522796631,0.0776209682226181,0.704293429851532,0.791429877281189,0.18160486221313477,1.4556944370269775
test_score,rgb,classification,"(0, 0, 15)",27.0,5,5,avg,0,,348.0,311.0,13597.0,3129.0,0.8021283149719238,0.5280728340148926,0.1000862792134285,0.7969765663146973,0.749260425567627,0.13506899774074554,1.1396193504333496
train_score,rgb,classification,"(0, 0, 26)",81.0,5,5,conc,0,,15578.0,2697.0,93831.0,8554.0,0.9067540764808655,0.8524213433265686,0.6455329060554504,0.9559691548347473,0.5389308929443359,0.684998095035553,0.628589928150177
val_score,rgb,classification,"(0, 0, 26)",81.0,5,5,conc,0,,1075.0,1362.0,18478.0,3885.0,0.7884271740913391,0.4411161243915558,0.2167338728904724,0.7027903199195862,0.7044786810874939,0.11939354240894318,1.5220441818237305
test_score,rgb,classification,"(0, 0, 26)",81.0,5,5,conc,0,,758.0,913.0,12995.0,2719.0,0.7910842895507812,0.453620582818985,0.2180040329694748,0.8010050654411316,0.6432353258132935,0.132436603307724,1.168510913848877
train_score,rgb,classification,"(0, 0, 1)",81.0,9,2.5,none,0,2.0852248668670654,0.0,0.0,599296.0,74912.0,0.8889086246490479,0.0,0.0,0.5625,0.9036202430725098,0.0,
val_score,rgb,classification,"(0, 0, 1)",81.0,9,2.5,none,0,2.067868947982788,0.0,0.0,126728.0,15841.0,0.888886034488678,0.0,0.0,0.6160714626312256,0.9017078280448914,0.0,
test_score,rgb,classification,"(0, 0, 1)",81.0,9,2.5,none,0,2.0782363414764404,0.0,0.0,93504.0,11688.0,0.8888862729072571,0.0,0.0,0.59375,0.902859091758728,0.0,
train_score,rgb,classification,"(0, 0, 21)",27.0,9,5,avg,0,,2074.0,0.0,259280.0,30336.0,0.896010160446167,1.0,0.06399259716272354,0.9318616986274719,1.281671404838562,0.531354546546936,1.2362114191055298
val_score,rgb,classification,"(0, 0, 21)",27.0,9,5,avg,0,,0.0,0.0,63000.0,7875.0,0.888886570930481,0.0,0.0,0.6844478249549866,1.4237884283065796,0.04618912562727928,2.4890952110290527
test_score,rgb,classification,"(0, 0, 21)",27.0,9,5,avg,0,,0.0,0.0,38320.0,4790.0,0.888887345790863,0.0,0.0,0.803351640701294,1.4005475044250488,0.07910160720348358,1.5941429138183594
train_score,rgb,classification,"(0, 0, 3)",27.0,9,5,conc,0,,7842.0,1877.0,257403.0,24568.0,0.9093380570411682,0.8068731427192688,0.24196235835552216,0.9357588291168213,0.6754251718521118,0.5473317503929138,1.1314501762390137
val_score,rgb,classification,"(0, 0, 3)",27.0,9,5,conc,0,,158.0,86.0,62914.0,7717.0,0.8899036645889282,0.6475409865379333,0.020063491538167,0.7124270796775818,0.7500202655792236,0.1546434611082077,1.9645764827728271
test_score,rgb,classification,"(0, 0, 3)",27.0,9,5,conc,0,,19.0,37.0,38283.0,4771.0,0.888470470905304,0.3392857015132904,0.003966596908867359,0.782407283782959,0.7458769083023071,0.03779282420873642,1.7515404224395752
train_score,twostream,classification,"(0, 0, 5)",9.0,3,2.5,none,0,,1.0,0.0,91176.0,45587.0,0.666681170463562,1.0,2.193559703300707e-05,0.6891424059867859,0.6840426921844482,0.2760440707206726,1.0642759799957275
val_score,twostream,classification,"(0, 0, 5)",9.0,3,2.5,none,0,,0.0,0.0,19056.0,9528.0,0.6666678190231323,0.0,0.0,0.5453534126281738,0.6940626502037048,0.06764421612024307,1.0947661399841309
test_score,twostream,classification,"(0, 0, 5)",9.0,3,2.5,none,0,,0.0,0.0,21768.0,10884.0,0.6666682958602905,0.0,0.0,0.6315991282463074,0.680340051651001,0.19347317516803741,1.0741463899612427
train_score,twostream,classification,"(0, 0, 20)",81.0,3,5,avg,0,,0.0,0.0,45372.0,22686.0,0.6666631102561951,0.0,0.0,0.8668973445892334,0.6435641646385193,0.5872321724891663,0.9960949420928955
val_score,twostream,classification,"(0, 0, 20)",81.0,3,5,avg,0,,0.0,0.0,9528.0,4764.0,0.6666660904884338,0.0,0.0,0.5670188665390015,0.672358512878418,0.10557025671005249,1.090887427330017
test_score,twostream,classification,"(0, 0, 20)",81.0,3,5,avg,0,,0.0,0.0,10866.0,5433.0,0.6666658520698547,0.0,0.0,0.6048458218574524,0.6692339181900024,0.005228779278695583,1.0692071914672852
train_score,twostream,classification,"(0, 0, 6)",81.0,3,5,conc,0,,6041.0,933.0,44439.0,16645.0,0.7417204976081848,0.8662173748016357,0.26628756523132324,0.8221793174743652,0.6005443334579468,0.45078423619270325,0.8353787660598755
val_score,twostream,classification,"(0, 0, 6)",81.0,3,5,conc,0,,481.0,214.0,9314.0,4283.0,0.6853482723236084,0.6920863389968872,0.10096557438373566,0.6639942526817322,0.6799042820930481,0.32461392879486084,1.0346932411193848
test_score,twostream,classification,"(0, 0, 6)",81.0,3,5,conc,0,,144.0,72.0,10794.0,5289.0,0.6710837483406067,0.6666666865348816,0.026504693552851677,0.6373713612556458,0.691731333732605,0.11562459915876389,1.044252872467041
train_score,twostream,classification,"(0, 0, 4)",27.0,5,2.5,none,0,,18018.0,442.0,242318.0,42672.0,0.8579261302947998,0.9760563373565674,0.29688581824302673,0.9022504091262817,0.6605971455574036,0.5452329516410828,0.986668586730957
val_score,twostream,classification,"(0, 0, 4)",27.0,5,2.5,none,0,,0.0,0.0,39840.0,9960.0,0.8000020980834961,0.0,0.0,0.6519260406494141,0.7534463405609131,0.03934330493211746,1.460544466972351
test_score,twostream,classification,"(0, 0, 4)",27.0,5,2.5,none,0,,0.0,0.0,37360.0,9340.0,0.8000020384788513,0.0,0.0,0.673421323299408,0.7573047280311584,0.10785108059644699,1.4299882650375366
train_score,twostream,classification,"(0, 0, 4)",27.0,5,5,avg,0,,15990.0,3105.0,93423.0,8142.0,0.9067878127098083,0.8373919725418091,0.6626056432723999,0.9570349454879761,0.6599370837211609,0.6898077130317688,0.6056066751480103
val_score,twostream,classification,"(0, 0, 4)",27.0,5,5,avg,0,,971.0,1664.0,18176.0,3989.0,0.7720564007759094,0.3685009479522705,0.1957661360502243,0.7197651863098145,0.8518648147583008,0.17203843593597412,1.5481606721878052
test_score,twostream,classification,"(0, 0, 4)",27.0,5,5,avg,0,,1039.0,987.0,12921.0,2438.0,0.8029909729957581,0.5128331780433655,0.298820823431015,0.831180214881897,0.7675673365592957,0.20450112223625183,1.0720549821853638
train_score,twostream,classification,"(0, 0, 22)",27.0,5,5,conc,0,,12425.0,2328.0,94200.0,11707.0,0.8836809396743774,0.8422015905380249,0.5148764848709106,0.9373767375946045,0.7077651023864746,0.6239073872566223,0.7416340112686157
val_score,twostream,classification,"(0, 0, 22)",27.0,5,5,conc,0,,695.0,831.0,19009.0,4265.0,0.7945160865783691,0.4554390609264374,0.1401209682226181,0.7349767088890076,0.8384222984313965,0.22669388353824615,1.3886492252349854
test_score,twostream,classification,"(0, 0, 22)",27.0,5,5,conc,0,,601.0,534.0,13374.0,2876.0,0.8038536310195923,0.5295154452323914,0.17285016179084778,0.8289690613746643,0.7807120084762573,0.19669988751411438,1.0889137983322144
train_score,twostream,classification,"(0, 0, 0)",27.0,9,5,avg,0,,9256.0,2230.0,257050.0,23154.0,0.9129759669303894,0.805850625038147,0.28559085726737976,0.9298797845840454,0.5653866529464722,0.5275346040725708,1.116133213043213
val_score,twostream,classification,"(0, 0, 0)",27.0,9,5,avg,0,,319.0,371.0,62629.0,7556.0,0.8881550431251526,0.4623188376426697,0.04050793498754501,0.732032835483551,0.6662647128105164,0.19714704155921936,1.9655827283859253
test_score,twostream,classification,"(0, 0, 0)",27.0,9,5,avg,0,,33.0,154.0,38166.0,4757.0,0.8860814571380615,0.1764705926179886,0.0068893530406057835,0.7947222590446472,0.6314504742622375,0.09440547227859497,1.6850054264068604
train_score,twostream,classification,"(0, 0, 2)",27.0,9,5,conc,0,,9402.0,2332.0,256948.0,23008.0,0.9131270051002502,0.801261305809021,0.29009565711021423,0.9293504357337952,0.7512816190719604,0.5103858709335327,1.1077275276184082
val_score,twostream,classification,"(0, 0, 2)",27.0,9,5,conc,0,,212.0,228.0,62772.0,7663.0,0.8886620402336121,0.48181816935539246,0.026920635253190994,0.7286794185638428,0.7739797830581665,0.19212453067302704,1.9494478702545166
test_score,twostream,classification,"(0, 0, 2)",27.0,9,5,conc,0,,64.0,153.0,38167.0,4726.0,0.8868237733840942,0.2949308753013611,0.013361169025301933,0.8007064461708069,0.7706059217453003,0.08139920979738235,1.6637263298034668
