,featureType,prblemType,confID,budget,eng_lvls,divide,fusionType,repeats,thisloss,tp,fp,tn,fn,acc,prec,rec,auc,BC,MCC
train_score,handcrafted,classification,"(0, 0, 22)",81.0,2,2.5,none,0,0.6931182146072388,14939.0,14865.0,14939.0,14865.0,0.5012414455413818,0.5012414455413818,0.5012414455413818,0.5012406706809998,0.6931256651878357,0.03525619953870773
val_score,handcrafted,classification,"(0, 0, 22)",81.0,2,2.5,none,0,0.692663848400116,3113.0,2893.0,3113.0,2893.0,0.5183150172233582,0.5183150172233582,0.5183150172233582,0.5181258916854858,0.6929042339324951,0.12880101799964905
test_score,handcrafted,classification,"(0, 0, 22)",81.0,2,2.5,none,0,0.6931458711624146,3568.0,3568.0,3568.0,3568.0,0.5,0.5,0.5,0.5,0.6931472420692444,0.0
train_score,handcrafted,classification,"(0, 0, 23)",9.0,2,2.5,distance_SMOTE,0,0.6932553648948669,14865.0,14939.0,14865.0,14939.0,0.49875855445861816,0.49875855445861816,0.49875855445861816,0.4985917806625366,0.7041385173797607,-0.02075718529522419
val_score,handcrafted,classification,"(0, 0, 23)",9.0,2,2.5,distance_SMOTE,0,0.6946897506713867,2902.0,3104.0,2902.0,3104.0,0.48318347334861755,0.48318347334861755,0.48318347334861755,0.4820364713668823,0.7008481621742249,-0.11263677477836609
test_score,handcrafted,classification,"(0, 0, 23)",9.0,2,2.5,distance_SMOTE,0,0.6931374073028564,3580.0,3556.0,3580.0,3556.0,0.5016816258430481,0.5016816258430481,0.5016816258430481,0.5009804964065552,0.7035300135612488,0.0410420186817646
train_score,handcrafted,classification,"(0, 0, 7)",9.0,2,5,none,0,0.6931465268135071,3455.0,3455.0,3455.0,3455.0,0.5,0.5,0.5,0.5,0.6931483745574951,0.0
val_score,handcrafted,classification,"(0, 0, 7)",9.0,2,5,none,0,0.6931469440460205,780.0,780.0,780.0,780.0,0.5,0.5,0.5,0.5,0.6931470632553101,0.0
test_score,handcrafted,classification,"(0, 0, 7)",9.0,2,5,none,0,0.6931470632553101,852.0,852.0,852.0,852.0,0.5,0.5,0.5,0.5,0.6931471228599548,0.0
train_score,handcrafted,classification,"(0, 0, 6)",9.0,2,5,distance_SMOTE,0,0.699634313583374,3455.0,3455.0,3455.0,3455.0,0.5,0.5,0.5,0.49985551834106445,0.7105744481086731,0.0
val_score,handcrafted,classification,"(0, 0, 6)",9.0,2,5,distance_SMOTE,0,0.6926630139350891,782.0,778.0,782.0,778.0,0.5012820363044739,0.5012820363044739,0.5012820363044739,0.501281201839447,0.7059175372123718,0.035828717052936554
test_score,handcrafted,classification,"(0, 0, 6)",9.0,2,5,distance_SMOTE,0,0.6916713118553162,856.0,848.0,856.0,848.0,0.5023474097251892,0.5023474097251892,0.5023474097251892,0.5023446679115295,0.7196452021598816,0.04850712791085243
train_score,handcrafted,classification,"(0, 0, 22)",243.0,2,5s,none,0,0.6918942928314209,6396.0,6352.0,6396.0,6352.0,0.5017257332801819,0.5017257332801819,0.5017257332801819,0.5018025636672974,0.6931933760643005,0.04157905653119087
val_score,handcrafted,classification,"(0, 0, 22)",243.0,2,5s,none,0,0.6911348700523376,1337.0,1229.0,1337.0,1229.0,0.5210444331169128,0.5210444331169128,0.5210444331169128,0.52079838514328,0.684339702129364,0.13926038146018982
test_score,handcrafted,classification,"(0, 0, 22)",243.0,2,5s,none,0,0.6929211616516113,1526.0,1526.0,1526.0,1526.0,0.5,0.5,0.5,0.5003275871276855,0.6990297436714172,0.0
train_score,handcrafted,classification,"(0, 0, 11)",27.0,2,5s,distance_SMOTE,0,0.6936590075492859,6371.0,6377.0,6371.0,6377.0,0.49976468086242676,0.49976468086242676,0.49976468086242676,0.4997647702693939,0.6933346390724182,-0.011886556632816792
val_score,handcrafted,classification,"(0, 0, 11)",27.0,2,5s,distance_SMOTE,0,0.7303021550178528,1232.0,1334.0,1232.0,1334.0,0.48012471199035645,0.48012471199035645,0.48012471199035645,0.4803536534309387,0.7088140845298767,-0.13485977053642273
test_score,handcrafted,classification,"(0, 0, 11)",27.0,2,5s,distance_SMOTE,0,0.6926926374435425,1528.0,1524.0,1528.0,1524.0,0.5006552934646606,0.5006552934646606,0.5006552934646606,0.5006550550460815,0.6926931142807007,0.02560737542808056
