,featureType,prblemType,confID,budget,eng_lvls,divide,fusionType,repeats,thisloss,tp,fp,tn,fn,acc,prec,rec,auc,BC,MCC
train_score,handcrafted_extra,classification,"(0, 0, 12)",81.0,2,2.5,polynom_fit_SMOTE,0,0.19116447865962982,25962.0,2276.0,25962.0,2276.0,0.9193993806838989,0.9193993806838989,0.9193993806838989,0.9801820516586304,0.22407758235931396,0.8473769426345825
val_score,handcrafted_extra,classification,"(0, 0, 12)",81.0,2,2.5,polynom_fit_SMOTE,0,0.6826798319816589,4661.0,1126.0,4661.0,1126.0,0.8054259419441223,0.8054259419441223,0.8054259419441223,0.8555052280426025,0.49595728516578674,0.6525285243988037
test_score,handcrafted_extra,classification,"(0, 0, 12)",81.0,2,2.5,polynom_fit_SMOTE,0,0.3444156050682068,6084.0,964.0,6084.0,964.0,0.8632236123085022,0.8632236123085022,0.8632236123085022,0.9368346333503723,0.34895703196525574,0.7369892597198486
train_score,handcrafted_extra,classification,"(0, 0, 23)",81.0,2,2.5,polynom_fit_SMOTE,1,0.14190377295017242,25796.0,1574.0,25796.0,1574.0,0.9424917697906494,0.9424917697906494,0.9424917697906494,0.9884958863258362,0.21149328351020813,0.8882647156715393
val_score,handcrafted_extra,classification,"(0, 0, 23)",81.0,2,2.5,polynom_fit_SMOTE,1,0.3516849875450134,6167.0,989.0,6167.0,989.0,0.8617942929267883,0.8617942929267883,0.8617942929267883,0.932977020740509,0.3484046757221222,0.7235432863235474
test_score,handcrafted_extra,classification,"(0, 0, 23)",81.0,2,2.5,polynom_fit_SMOTE,1,0.2767234742641449,7227.0,776.0,7227.0,776.0,0.90303635597229,0.90303635597229,0.90303635597229,0.9545372724533081,0.3008784353733063,0.8066975474357605
train_score,handcrafted_extra,classification,"(0, 0, 25)",27.0,2,2.5,polynom_fit_SMOTE,2,0.35801008343696594,18757.0,2987.0,18757.0,2987.0,0.8626287579536438,0.8626287579536438,0.8626287579536438,0.9278298616409302,0.45305636525154114,0.7248409986495972
val_score,handcrafted_extra,classification,"(0, 0, 25)",27.0,2,2.5,polynom_fit_SMOTE,2,0.6624209880828857,5140.0,2728.0,5140.0,2728.0,0.6532791256904602,0.6532791256904602,0.6532791256904602,0.6775345206260681,0.6493386626243591,0.30704164505004883
test_score,handcrafted_extra,classification,"(0, 0, 25)",27.0,2,2.5,polynom_fit_SMOTE,2,0.5314081907272339,10292.0,3431.0,10292.0,3431.0,0.7499817609786987,0.7499817609786987,0.7499817609786987,0.8137511610984802,0.5649871826171875,0.5076887011528015
train_score,handcrafted_extra,classification,"(0, 0, 18)",27.0,2,2.5,polynom_fit_SMOTE,3,0.14604632556438446,19993.0,1148.0,19993.0,1148.0,0.9456979036331177,0.9456979036331177,0.9456979036331177,0.9890071749687195,0.23133699595928192,0.891338050365448
val_score,handcrafted_extra,classification,"(0, 0, 18)",27.0,2,2.5,polynom_fit_SMOTE,3,0.5355921983718872,7497.0,2237.0,7497.0,2237.0,0.7701869606971741,0.7701869606971741,0.7701869606971741,0.8317617177963257,0.5258883237838745,0.5715911388397217
test_score,handcrafted_extra,classification,"(0, 0, 18)",27.0,2,2.5,polynom_fit_SMOTE,3,0.5183039903640747,9408.0,2553.0,9408.0,2553.0,0.7865563035011292,0.7865563035011292,0.7865563035011292,0.8492934703826904,0.5030063986778259,0.5984743237495422
train_score,handcrafted_extra,classification,"(0, 0, 3)",81.0,2,2.5,polynom_fit_SMOTE,4,0.14654481410980225,18438.0,866.0,18438.0,866.0,0.9551388025283813,0.9551388025283813,0.9551388025283813,0.9906160235404968,0.2461784929037094,0.9108424186706543
val_score,handcrafted_extra,classification,"(0, 0, 3)",81.0,2,2.5,polynom_fit_SMOTE,4,0.4754018783569336,10962.0,2893.0,10962.0,2893.0,0.791194498538971,0.791194498538971,0.791194498538971,0.8707642555236816,0.4677816927433014,0.5837821960449219
